company_uuid,url,data_source,Profit & Loss account of Eternal(in Rs. Cr.),,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,Changes In Inventories Of FGWIP And Stock In Trade,Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Other Direct Taxes,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,Minority Interest,Consolidated Profit/Loss After MI And Associates,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,
C-298,https://www.moneycontrol.com/financials/zomato/consolidated-profit-lossVI/Z#Z,P&L_cons,Mar 25,12 mths,,"20,243.00",0.00,"20,243.00","20,243.00","1,077.00","21,320.00",,0.00,"5,653.00",0.00,-88.00,"2,558.00",154.00,863.00,"11,483.00","20,623.00",697.00,0.00,697.00,,170.00,0.00,0.00,0.00,170.00,527.00,527.00,527.00,0.00,527.00,,,1.00,1.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
C-298,https://www.moneycontrol.com/financials/zomato/consolidated-profit-lossVI/Z#Z,P&L_cons,Mar 24,12 mths,,"12,114.00",0.00,"12,114.00","12,114.00",847.00,"12,961.00",,0.00,"2,887.00",0.00,-5.00,"1,659.00",72.00,526.00,"7,531.00","12,670.00",291.00,0.00,291.00,,1.00,0.00,-61.00,0.00,-60.00,351.00,351.00,351.00,0.00,351.00,,,0.00,0.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
C-298,https://www.moneycontrol.com/financials/zomato/consolidated-profit-lossVI/Z#Z,P&L_cons,Mar 23,12 mths,,"7,079.40",0.00,"7,079.40","7,079.40",681.50,"7,760.90",,0.00,"1,438.20",0.00,-43.00,"1,465.00",48.70,436.90,"5,429.50","8,775.30","-1,014.40",0.10,"-1,014.30",,0.40,0.00,-44.00,0.00,-43.60,-970.70,-970.70,-970.70,-0.30,-971.30,,,-1.00,-1.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
C-298,https://www.moneycontrol.com/financials/zomato/consolidated-profit-lossVI/Z#Z,P&L_cons,Mar 22,12 mths,,"4,119.60",0.00,"4,119.60","4,192.40",494.90,"4,687.30",,0.00,552.40,0.00,-27.80,"1,633.10",12.00,150.30,"3,885.50","6,205.50","-1,518.20",297.40,"-1,220.80",,2.00,0.00,0.00,0.00,2.00,"-1,222.80","-1,222.80","-1,222.80",13.80,"-1,208.70",,,-2.00,-2.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
C-298,https://www.moneycontrol.com/financials/zomato/consolidated-profit-lossVI/Z#Z,P&L_cons,Mar 21,12 mths,,"1,915.75",0.00,"1,915.75","1,993.79",124.64,"2,118.42",,0.00,202.87,0.00,-11.01,740.77,10.08,137.74,"1,528.32","2,608.78",-490.36,-324.77,-815.12,,1.30,0.00,0.00,0.00,1.30,-816.43,-816.43,-816.43,3.61,-812.82,,,-2.00,-2.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
C-298,https://www.moneycontrol.com/financials/zomato/balance-sheetVI/Z#Z,BS,Balance Sheet of Eternal(in Rs. Cr.),,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
C-298,https://www.moneycontrol.com/financials/zomato/balance-sheetVI/Z#Z,BS,Mar 25,12 mths,,,907.00,907.00,"33,208.00","33,208.00","34,115.00",,0.00,47.00,95.00,62.00,204.00,,0.00,529.00,985.00,18.00,"1,532.00","35,851.00",,,"1,446.00",25.00,0.00,0.00,"1,471.00","24,431.00",0.00,880.00,"2,758.00","29,540.00",,"1,442.00",0.00,112.00,"1,799.00",0.00,"2,958.00","6,311.00","35,851.00",,,0.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
C-298,https://www.moneycontrol.com/financials/zomato/balance-sheetVI/Z#Z,BS,Mar 24,12 mths,,,868.00,868.00,"21,907.00","21,907.00","22,775.00",,0.00,0.00,107.00,49.00,156.00,,0.00,481.00,893.00,20.00,"1,394.00","24,325.00",,,185.00,"1,213.00",0.00,0.00,"1,398.00","18,445.00",0.00,0.00,935.00,"20,778.00",,927.00,0.00,69.00,459.00,0.00,"2,092.00","3,547.00","24,325.00",,,432.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,214.50,,--,"18,445.00",,814.00,113.00
C-298,https://www.moneycontrol.com/financials/zomato/balance-sheetVI/Z#Z,BS,Mar 23,12 mths,,,836.40,836.40,"19,970.40","19,970.40","20,806.80",,0.00,0.00,126.10,57.00,183.10,,0.00,366.00,549.60,21.40,937.00,"21,926.90",,,192.60,"1,209.70",0.00,0.00,"1,402.30","8,861.90",0.00,958.00,"1,961.20","13,183.40",,"3,832.50",0.30,62.20,398.30,0.00,"4,450.20","8,743.50","21,926.90",,,0.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,211.50,,--,--,,--,"3,832.50"
C-298,https://www.moneycontrol.com/financials/zomato/balance-sheetVI/Z#Z,BS,Mar 22,12 mths,,,764.30,764.30,"16,002.90","16,002.90","16,767.20",,0.00,0.00,18.40,52.00,70.40,,0.00,393.70,252.90,16.50,663.10,"17,500.70",,,58.30,"1,289.20",0.00,0.00,"1,347.50","3,535.60",0.00,0.00,"5,280.80","10,163.90",,"1,600.80",0.00,166.90,"1,464.70",375.00,"3,729.40","7,336.80","17,500.70",,,97.10,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,210.20,,--,"3,066.70",,--,"1,600.80"
C-298,https://www.moneycontrol.com/financials/zomato/balance-sheetVI/Z#Z,BS,Mar 21,12 mths,,,0.03,0.03,"7,754.50","7,754.50","7,754.53",,0.00,0.00,46.69,19.73,66.41,,0.00,274.07,193.45,4.85,472.37,"8,748.24",,,57.54,"1,392.97",0.00,0.00,"1,450.64",311.74,0.00,0.00,"3,009.91","4,772.29",,"2,194.11",0.00,123.71,765.18,40.00,852.95,"3,975.95","8,748.24",,,92.94,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,311.74,,--,"2,194.11"